Session,UID,Sample,d45,d46,d47
2015-03 - 2018-05,72301,EG60,-25.84340,-48.09940,-72.81250
2015-03 - 2018-05,72315,ETH-1,11.68720,3.32950,14.64710
2015-03 - 2018-05,72673,ETH-3,11.49990,3.81650,15.34650
2015-03 - 2018-05,72748,ETH-2,-0.39114,-13.17200,-14.02040
2015-03 - 2018-05,72814,ETH-3,11.45580,4.13650,15.62100
2015-03 - 2018-05,73014,ETH-1,11.65350,3.89730,15.19210
2015-03 - 2018-05,73028,ETH-2,-0.38073,-12.76480,-13.62020
2015-03 - 2018-05,73167,ETH-3,11.41240,4.16340,15.63560
2015-03 - 2018-05,73480,ETH-4,-0.35038,-12.92220,-13.53450
2015-03 - 2018-05,74313,HG1000,-0.49323,-2.77660,-4.09880
2015-03 - 2018-05,74320,HG1000,-25.42940,-21.99350,-48.08690
2015-03 - 2018-05,74327,EG4,-25.51190,-39.43670,-63.94120
2015-03 - 2018-05,74563,ETH-3,10.61240,4.12370,14.73410
2015-03 - 2018-05,74651,ETH-4,-0.36772,-12.76130,-13.33450
2015-03 - 2018-05,74956,HG1000,-25.43460,-21.90060,-47.98190
2015-03 - 2018-05,74963,EG4,0.26692,1.56580,1.90450
2015-03 - 2018-05,74970,EG60,-25.93020,-47.72630,-72.50220
2015-03 - 2018-05,74998,EG4,-23.88110,1.32700,-23.24310
2015-03 - 2018-05,75005,EG60,1.13030,29.29920,29.85190
2015-03 - 2018-05,75019,EG4,1.51630,38.64250,39.65260
2015-03 - 2018-05,75160,EG60,1.05060,29.38470,29.82650
2015-03 - 2018-05,75167,EG60,-24.23080,-7.38200,-32.20240
2015-03 - 2018-05,75174,EG60,-2.45410,-47.46250,-49.20020
2015-03 - 2018-05,75281,ETH-2,-0.25603,-13.02330,-13.73500
2015-03 - 2018-05,75326,EG4,-23.85980,0.88817,-23.66930
2015-03 - 2018-05,75429,EG60,1.13710,29.17080,29.74700
2015-03 - 2018-05,75488,ETH-3,11.49700,4.07800,15.62660
2015-03 - 2018-05,75683,ETH-1,11.77210,3.58460,14.98340
2015-03 - 2018-05,75823,ETH-3,11.50890,3.87830,15.39940
2015-03 - 2018-05,76535,EG60,-24.16290,-7.78060,-32.50490
2015-03 - 2018-05,76570,EG60,-24.09050,-6.86100,-31.55070
2015-03 - 2018-05,76754,HG1000,-25.09610,-21.12550,-46.90510
2015-03 - 2018-05,76755,HG1000,-25.09570,-21.12780,-46.90940
